:Product: Daily Solar Data         1996_DSD.txt
:Issued: 0225 UT 22 Jul 1997
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comments and suggestions to sec@sec.noaa.gov
#
#                            1996 Daily Solar Data
#

                          Sunspot       Stanford GOES8
           Radio  SESC      Area          Solar  X-ray   ------- Flares --------  
           Flux  Sunspot   10E-6    New    Mean   Bkgd    X-ray       Optical     
   Date   10.7cm  Number   Hemis. Regions Field   Flux   C  M  X   Not Available  
01 Jan 96   75      25        10     1       *    A1.2   *  *  *
02 Jan 96   75      34         0     0      -1    A0.8   0  0  0
03 Jan 96   81      30       110     1       *    A0.9   1  0  0
04 Jan 96   86      48       220     1      -1       *   0  0  0
05 Jan 96   85      69       410     0       6       *   1  0  0
06 Jan 96   83      57       390     0     -11    A7.1   0  0  0
07 Jan 96   83      45       220 -7940       *    A5.0   0  0  0
08 Jan 96   79      53       180     2       *    A3.6   0  0  0
09 Jan 96   76      27        50     0       *    A3.1   0  0  0
10 Jan 96   74      13         0     0      -7    A1.6   0  0  0
11 Jan 96   71       0         0     0       2    A6.6   0  0  0
12 Jan 96   70       0         0     0      -6    A0.5   0  0  0
13 Jan 96   69       0         0     0       *    A0.4   0  0  0
14 Jan 96   70       0         0     0       *    A0.3   0  0  0
15 Jan 96   70       0         0     0       *    A0.3   0  0  0
16 Jan 96   70       0         0     0       *       *   *  *  *
17 Jan 96   70      11         0     1     -12    A0.4   *  *  *
18 Jan 96   71       0         0     0       *    A0.4   *  *  *
19 Jan 96   71       0         0     0       *    A0.4   *  *  *
20 Jan 96   71       0         0     0     -11    A0.3   *  *  *
21 Jan 96   72       0         0     0     -50    A0.3   0  0  0
22 Jan 96   72      13         0     0     -15    A0.4   0  0  0
23 Jan 96   73       0         0     0       *    A0.4   0  0  0
24 Jan 96   73       0         0     0       *    A0.4   0  0  0
25 Jan 96   74      11        10     0      -5    A0.4   0  0  0
26 Jan 96   74      11        10     0       *    A0.4   0  0  0
27 Jan 96   74      11         0     0       *    A0.4   *  *  *
28 Jan 96   74      11         0     0      -8    A0.4   *  *  *
29 Jan 96   74       0         0     0       *    A0.4   *  *  *
30 Jan 96   75       0         0     0       *    A0.4   0  0  0
31 Jan 96   77       0         0     0       *       *   0  0  0
01 Feb 96   75      15        80     0      -6       *   0  0  0
02 Feb 96   76      26        30     0       *    A1.1   0  0  0
03 Feb 96   74      11        10     0       *    A1.4   0  0  0
04 Feb 96   74       0         0     0       *       *   0  0  0
05 Feb 96   71       0         0     0      -1       *   0  0  0
06 Feb 96   71       0         0     0       *       *   *  *  *
07 Feb 96   70       0         0     0       1    A0.3   *  *  *
08 Feb 96   68       0         0     0       *    A0.3   *  *  *
09 Feb 96   70       0         0     0       *    A0.3   *  *  *
10 Feb 96   70       0         0     0      27    A0.3   *  *  *
11 Feb 96   70       0         0     0      -2    A0.3   *  *  *
12 Feb 96   69       0         0     0      -2    A0.3   0  0  0
13 Feb 96   69       0         0     0     -13    A0.3   0  0  0
14 Feb 96   69       0         0     0       9    A0.3   *  *  *
15 Feb 96   69       0         0     0      12    A0.3   *  *  *
16 Feb 96   70       0         0     0       *    A0.3   *  *  *
17 Feb 96   71       0         0     0       *    A0.3   *  *  *
18 Feb 96   70       0         0     0       9    A0.3   *  *  *
19 Feb 96   71       0         0     0       *    A0.3   0  0  0
20 Feb 96   72       0         0     0       *       *   0  0  0
21 Feb 96   72      15        30     0       *    A0.5   0  0  0
22 Feb 96    *      26        20     0     -14    A0.7   0  0  0
23 Feb 96   74      13        10     0       *    A0.5   0  0  0
24 Feb 96   76      13        10     0       *    A1.3   0  0  0
25 Feb 96   73      29        60     0      -5    A2.0   0  0  0
26 Feb 96   72      27        40     0      -2    A0.9   0  0  0
27 Feb 96   72      11        20     0       *       *   0  0  0
28 Feb 96   72      11         0     1     -10    A0.4   0  0  0
29 Feb 96   72      27        20     0       *    A0.4   *  *  *
01 Mar 96   72       0         0     0      -3    A0.4   0  0  0
02 Mar 96   71       0         0     0     -11    A0.4   0  0  0
03 Mar 96   70       0         0     0       *    A0.3   0  0  0
04 Mar 96   69       0         0     0       *    A0.3   0  0  0
05 Mar 96   69       0         0     0       *    A0.3   0  0  0
06 Mar 96   69      24        10     2      -5    A0.3   0  0  0
07 Mar 96   68       0         0     0       *       *   *  *  *
08 Mar 96   70       0         0     0     -14    A0.3   *  *  *
09 Mar 96   68       0         0     0       *    A0.3   *  *  *
10 Mar 96   69       0         0     0     -28    A0.3   0  0  0
11 Mar 96   72       0         0     0       *    A0.4   0  0  0
12 Mar 96   73      23        70     0       *    A1.0   0  0  0
13 Mar 96   71      23        70     0      -1    A1.0   0  0  0
14 Mar 96   71      17        60     0      -6    A0.6   0  0  0
15 Mar 96   70       0         0     0       1    A0.5   0  0  0
16 Mar 96   71      15        40     0     -10    A0.5   0  0  0
17 Mar 96   71      12        30     0     -17    A0.5   0  0  0
18 Mar 96   71      11        10     0     -10    A0.4   0  0  0
19 Mar 96   70      11        10     0     -10    A0.4   *  *  *
